217003.SH,2006/04/10,0,0.052,0,0
217003.SH,2007/03/13,0,0.045,0,0
217003.SH,2007/07/09,0,0.08,0,0
217003.SH,2008/11/14,0,0.08,0,0
217003.SH,2010/01/05,0,0.06,0,0
217003.SH,2011/01/06,0,0.06,0,0
217003.SH,2011/06/29,0,0.03,0,0
217005.SH,2006/04/04,0,0.015,0,0
217005.SH,2006/04/25,0,0.03,0,0
217005.SH,2006/06/06,0,0.08,0,0
217005.SH,2006/11/28,0,0.54,0,0
217005.SH,2007/01/30,0,0.425,0,0
217005.SH,2007/09/19,0,0.86,0,0
217008.SH,2007/03/13,0,0.02,0,0
217008.SH,2007/07/09,0,0.025,0,0
217008.SH,2008/03/27,0,0.055,0,0
217008.SH,2010/06/30,0,0.13,0,0
217008.SH,2010/12/17,0,0.12,0,0
217008.SH,2011/06/29,0,0.06,0,0
217009.SH,2010/01/07,0,0.09,0,0
217009.SH,2011/01/10,0,0.03,0,0
217010.SH,2010/01/07,0,0.2,0,0
217010.SH,2011/01/10,0,0.18,0,0
217011.SH,2011/06/29,0,0.12,0,0
217203.SH,2004/03/16,0,0.015,0,0
217203.SH,2005/04/21,0,0.015,0,0
217203.SH,2005/08/10,0,0.03,0,0
217203.SH,2006/04/10,0,0.052,0,0
217203.SH,2007/03/13,0,0.045,0,0
217203.SH,2007/07/09,0,0.08,0,0
217203.SH,2008/11/14,0,0.08,0,0
217203.SH,2010/01/05,0,0.04,0,0
217203.SH,2011/01/06,0,0.04,0,0
217203.SH,2011/06/29,0,0.02,0,0
233001.SH,2006/05/25,0,0.03,0,0
233001.SH,2006/06/08,0,0.03,0,0
233001.SH,2006/10/10,0,0.05,0,0
233001.SH,2006/11/17,0,0.1,0,0
233001.SH,2006/12/15,0,0.05,0,0
233001.SH,2007/12/13,0,1.285,0,0
233005.SH,2010/10/15,0,0.035,0,0
240001.SH,2003/12/29,0,0.01,0,0
240001.SH,2004/03/30,0,0.04,0,0
240001.SH,2004/09/09,0,0.02,0,0
240001.SH,2005/05/17,0,0.05,0,0
240001.SH,2005/12/19,0,0.01,0,0
240001.SH,2006/04/12,0,0.04,0,0
240001.SH,2007/03/26,0,0,2.488,0
240001.SH,2007/09/12,0,0.1,0,0
240001.SH,2008/03/25,0,0.05,0,0
240001.SH,2009/04/22,0,0.05,0,0
240001.SH,2010/01/14,0,0.05,0,0
240001.SH,2011/01/17,0,0.02,0,0
240002.SH,2003/12/29,0,0.01,0,0
240002.SH,2004/03/30,0,0.04,0,0
240002.SH,2004/12/17,0,0.04,0,0
240002.SH,2005/12/14,0,0.02,0,0
240002.SH,2006/04/12,0,0.04,0,0
240002.SH,2007/01/19,0,1.39,0,0
240002.SH,2008/03/25,0,0.05,0,0
240002.SH,2009/04/22,0,0.05,0,0
240002.SH,2010/01/14,0,0.05,0,0
240003.SH,2003/12/29,0,0.01,0,0
240003.SH,2004/03/30,0,0.02,0,0
240003.SH,2004/09/09,0,0.02,0,0
240003.SH,2005/10/27,0,0.03,0,0
240003.SH,2006/04/12,0,0.02,0,0
240003.SH,2006/06/08,0,0.045,0,0
240003.SH,2006/09/19,0,0.01,0,0
240003.SH,2006/12/20,0,0.015,0,0
240003.SH,2007/09/12,0,0.1,0,0
240003.SH,2008/03/25,0,0.13,0,0
240003.SH,2008/12/17,0,0.02,0,0
240003.SH,2009/04/22,0,0.03,0,0
240003.SH,2010/01/14,0,0.04,0,0
240003.SH,2011/01/17,0,0.02,0,0
240004.SH,2006/04/12,0,0.04,0,0
240004.SH,2007/01/04,0,1.04,0,0
240004.SH,2008/02/18,0,1.43,0,0
240005.SH,2006/05/10,0,0.12,0,0
240005.SH,2007/09/03,0,2,0,0
240005.SH,2008/01/08,0,0,2.295,0
240005.SH,2008/03/25,0,0.22,0,0
240005.SH,2010/01/15,0,0.053,0,0
240011.SH,2010/01/14,0,0.08,0,0
240012.SH,2010/01/14,0,0.01,0,0
240012.SH,2011/01/17,0,0.01,0,0
240013.SH,2010/01/14,0,0.01,0,0
240013.SH,2011/01/17,0,0.01,0,0
240016.SH,2010/11/10,0,0.03,0,0
253010.SH,2006/03/21,0,0.02,0,0
253010.SH,2006/12/11,0,0.25,0,0
253010.SH,2008/03/12,0,0,1.841,0
253020.SH,2009/12/28,0,0.02,0,0
253020.SH,2010/09/09,0,0.04,0,0
253020.SH,2010/12/30,0,0.065,0,0
253020.SH,2011/06/28,0,0.017,0,0
253021.SH,2009/12/28,0,0.015,0,0
253021.SH,2010/09/09,0,0.04,0,0
253021.SH,2010/12/30,0,0.055,0,0
253021.SH,2011/06/28,0,0.02,0,0
253030.SH,2011/05/10,0,0.045,0,0
255010.SH,2003/12/19,0,0.02,0,0
255010.SH,2004/03/08,0,0.04,0,0
255010.SH,2006/05/15,0,0.06,0,0
